date,place,titel,start,end
2023-12-04,J116-110,Andreas fortæller om Canada,09:00:00,10:00:00
2024-01-22,J116-110,Sine fortæller om PhD,10:00:00,11:00:00
2024-02-05,,AFLYST,09:00:00,10:00:00
2024-03-04,J116-112,Mette fortæller,09:00:00,10:00:00
2024-04-08,,AFLYST,09:00:00,10:00:00
2024-05-06,,AFLYST,09:00:00,10:00:00
2024-06-17,J116-111,Sigrid fortæller om Australien,09:00:00,10:00:00
2024-10-07,J116-110,"Brug af AI, Andreas har oplæg",09:00:00,10:00:00
2024-11-04,J115-135,Michael fortæller om sit PhD-projekt,10:00:00,11:30:00
2024-12-02,J116-109,Julespecial,09:00:00,10:00:00
2025-01-06,J116-111,Godt nytår!,09:00:00,10:00:00
2025-02-03,J116-107,Ida fortæller om PhD,12:00:00,13:00:00
2025-03-03,J116-110,Rolf med nyt fra ISC,11:00:00,12:00:00
2025-04-07,J116-108,Kasper fortæller om sit projekt,09:00:00,10:00:00
2025-05-05,J116-107,,09:00:00,10:00:00
2025-06-02,J116-107,,09:00:00,10:00:00
